Name,Location,Type Of Location,Price,Season,Age Group,Latitude,Longitude
Fairhaven Historic District,Bellingham,Historical,0,"Spring, Summer, Fall","Adults, Seniors",48.7189945825312,-122.507077602976
Fort Vancouver,Vancouver,Historical,10,"Winter, Spring, Summer, Fall","Kids, Adults, Seniors",45.6262965187944,-122.656662446807
Stevens Pass,Skykomish,Ski,100,Winter,"Kids, Adults",47.7474250409548,-121.089699868947
Mount Baker Ski Area,Deming,Ski,10,Winter,"Kids, Adults",48.8582850482741,-121.667527454917
Gorge Amphitheatre,George,Landmark,115,"Winter, Spring, Summer, Fall","Kids, Adults, Seniors",47.1018430517486,-119.995573484153
Grays Harbor Lighthouse,Westport,Landmark,10,"Spring, Summer","Kids, Adults, Seniors",46.8883218964329,-124.116879616067
Washington State University,Pullman,Landmark,0,"Winter, Spring, Summer, Fall","Kids, Adults",46.7321117551240,-117.154272708156
Sky View Observatory,Seattle,Landmark,10,"Winter, Spring, Summer, Fall","Kids, Adults, Seniors",47.6044506855285,-122.331139848575
Lumen Field,Seattle,Landmark,20,"Winter, Spring, Summer, Fall","Kids, Adults",47.5952964818859,-122.331585758366
Tacoma Narrows Bridge,Pierce County,Landmark,10,"Winter, Spring, Summer, Fall","Adults, Seniors",47.2690799206816,-122.551645973723
Franklin Falls,King County,Nature,10,"Spring, Summer","Kids, Adults",47.4262923163501,-121.432993083763
Harborside Fountain Park,Bremerton,Nature,0,"Spring, Summer","Kids, Adults, Seniors",47.5622082117217,-122.625801516039
Stonehenge Memorial,Maryhill,Landmark,0,"Spring, Summer","Kids, Adults",45.6951228858361,-120.806038063908
Washington State History Musuem,Tacoma,Historical,20,"Winter, Spring, Summer, Fall","Kids, Adults, Seniors",47.2448015302137,-122.436050562083
